timestamp,temperature,humidity
2021-09-30 08:00:00,23.25,40.4
2021-09-30 08:15:00,23.23,40.3
2021-09-30 08:29:00,23.23,40.3
2021-09-30 08:44:00,23.21,40.3
2021-09-30 08:59:00,23.22,40.4
2021-09-30 09:14:00,23.23,40.6
2021-09-30 09:28:00,23.24,41.0
2021-09-30 09:43:00,23.25,40.9
2021-09-30 09:58:00,23.25,40.8
2021-09-30 10:13:00,23.25,40.7
2021-09-30 10:27:00,23.25,40.6
2021-09-30 10:42:00,23.27,40.6
2021-09-30 10:57:00,23.25,40.6
2021-09-30 11:12:00,23.25,40.5
2021-09-30 11:26:00,23.27,40.5
2021-09-30 11:41:00,23.25,40.4
2021-09-30 11:56:00,23.25,40.2
2021-09-30 12:11:00,23.25,40.1
2021-09-30 12:25:00,23.27,39.8
2021-09-30 12:40:00,23.29,39.7
2021-09-30 12:55:00,23.32,39.9
2021-09-30 13:10:00,23.36,39.6
2021-09-30 13:24:00,23.37,39.4
2021-09-30 13:39:00,23.39,39.1
2021-09-30 13:54:00,23.43,38.7
2021-09-30 14:09:00,23.44,38.4
2021-09-30 14:23:00,23.48,38.1
2021-09-30 14:38:00,23.52,37.8
2021-09-30 14:53:00,23.52,37.5
2021-09-30 15:08:00,23.53,37.2
2021-09-30 15:22:00,23.54,36.9
